@relation 'QueryResult_QueryResult-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>35, ifelse(A>55, ifelse(A>65, ifelse(A>75, 5, 4), 3), 2), 1)-V-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddValues-C1-L1,2,3,4,5-S-weka.filters.unsupervised.attribute.AddValues-C2-L1,2,3,4,5-S'

@attribute BUSSINESS_AND_ACCOUNTING_11_2 {F,S,C,B,A}

@data
S
B
C
C
S
C
C
S
S
S
F
S
A
A
S
S
B
B
C
C
S
S
B
A
B
C
F
C
S
S
S
A
S
B
B
S
S
B
A
C
B
S
C
A
B
B
S
S
C
F
A
A
B
C
B
C
C
A
S
A
B
A
A
A
A
S
A
A
A
A
A
A
B
C
F
A
A
A
A
A
A
A
A
B
A
A
A
F
B
F
F
S
B
C
F
S
S
F
B
S
S
F
B
B
S
B
S
S
C
S
S
F
S
A
F
F
F
F
A
C
C
S
S
S
A
S
A
S
C
S
S
S
C
S
S
F
S
S
S
S
S
S
S
S
S
C
S
F
S
F
S
A
A
A
A
A
A
B
A
B
A
A
A
A
A
B
A
C
C
C
A
A
C
B
S
C
A
A
A
C
C
A
