@relation 'QueryResult_QueryResult-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>35, ifelse(A>55, ifelse(A>65, ifelse(A>75, 5, 4), 3), 2), 1)-V-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddValues-C1-L1,2,3,4,5-S-weka.filters.unsupervised.attribute.AddValues-C2-L1,2,3,4,5-S'

@attribute BUSSINESS_AND_ACCOUNTING_11_3 {F,S,C,B,A}

@data
F
S
S
S
F
S
C
S
F
S
S
S
A
A
S
S
B
B
C
C
S
S
A
A
A
S
S
C
S
S
S
S
C
S
C
S
S
S
S
S
S
S
S
C
C
C
S
S
S
S
C
S
S
S
S
S
S
C
S
C
S
C
B
A
A
S
A
C
B
A
B
B
B
B
B
B
B
C
A
S
B
B
S
B
C
C
C
B
B
C
S
F
S
S
S
S
S
S
S
C
S
S
B
A
S
S
C
B
B
S
S
F
S
A
S
S
S
S
A
B
C
S
S
S
A
B
S
C
C
C
S
S
C
C
C
S
S
S
B
C
C
S
S
S
B
A
C
S
S
S
S
B
B
B
B
B
C
A
B
C
A
B
B
C
A
B
C
A
B
A
C
S
S
A
B
C
S
B
B
C
S
B
